2026-04-14 23:36:06 | DEBUG    | client | Binance Futures Testnet client initialized.
2026-04-14 23:36:07 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-14 23:38:39 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.01, price=None
2026-04-14 23:38:39 | DEBUG    | client | Binance Futures Testnet client initialized.
2026-04-14 23:38:39 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-14 23:38:39 | DEBUG    | orders | Placing order with params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-04-14 23:38:40 | ERROR    | orders | Binance API error: 401 - Invalid API-key, IP, or permissions for action
2026-04-14 23:38:40 | ERROR    | cli | Order failed: APIError(code=-2015): Invalid API-key, IP, or permissions for action
2026-04-14 23:40:59 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.01, price=None
2026-04-14 23:40:59 | DEBUG    | client | Binance Futures Testnet client initialized.
2026-04-14 23:40:59 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-14 23:40:59 | DEBUG    | orders | Placing order with params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-04-14 23:41:00 | ERROR    | orders | Binance API error: 401 - Invalid API-key, IP, or permissions for action
2026-04-14 23:41:00 | ERROR    | cli | Order failed: APIError(code=-2015): Invalid API-key, IP, or permissions for action
2026-04-14 23:42:00 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.01, price=None
2026-04-14 23:42:01 | ERROR    | client | Ping failed: 202 
2026-04-14 23:43:12 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.01, price=None
2026-04-14 23:43:13 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-14 23:43:13 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1776190393026, 'signature': '9cfe956e25e7c896a748d08c1baef879603ca65824567fda7a3345506a9c7543'}
