2026-04-15 00:21:49 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.01, price=None, stop_price=None
2026-04-15 00:21:49 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-15 00:21:49 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1776192709959, 'signature': '27530d9ab870c18710d07b0aad3b2fb3a77914cd2810b59da655d566d9806a25'}
2026-04-15 00:21:50 | DEBUG    | orders | Order response: {'orderId': 13035337780, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'NR4dsXQDUQrkRabFpm3dak', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776192710752} (status: 200)
2026-04-15 00:21:50 | INFO     | cli | Order placed successfully: orderId=13035337780, status=NEW
2026-04-15 00:47:54 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=SELL, type=LIMIT, qty=0.01, price=90000.0, stop_price=None
2026-04-15 00:47:55 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-15 00:47:55 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'timestamp': 1776194275531, 'price': 90000.0, 'timeInForce': 'GTC', 'signature': '8dc26c56392e09888b23486c234321ca4c199670b2046c48564e888f5fd17dfc'}
2026-04-15 00:47:56 | DEBUG    | orders | Order response: {'orderId': 13035384065, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'xLQQFkrOkiFMA085b1Qpqz', 'price': '90000.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776194276268} (status: 200)
2026-04-15 00:47:56 | INFO     | cli | Order placed successfully: orderId=13035384065, status=NEW
2026-04-15 01:11:35 | DEBUG    | validators | Inputs validated: symbol=BTCUSDT, side=BUY, type=STOP, qty=0.01, price=85000.0, stop_price=84000.0
2026-04-15 01:11:36 | INFO     | client | Connection to Binance Futures Testnet successful.
2026-04-15 01:11:36 | DEBUG    | orders | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'STOP', 'quantity': 0.01, 'timestamp': 1776195696082, 'price': 85000.0, 'stopPrice': 84000.0, 'timeInForce': 'GTC', 'signature': '76d75cd30b0b815f0a970e0ddf956a819206bfdb55558ea55c942995c0102a50'}
